"module name","license","repository"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"braces@2.3.2","MIT","https://github.com/micromatch/braces"
"braces@3.0.2","MIT","https://github.com/micromatch/braces"
"browser-sync-client@2.28.1","ISC","https://github.com/shakyshane/browser-sync-client"
"browser-sync-ui@2.28.1","Apache-2.0","https://github.com/BrowserSync/UI"
"browser-sync@2.28.1","Apache-2.0","https://github.com/BrowserSync/browser-sync"
"bs-recipes@1.3.4","ISC","https://github.com/BrowserSync/recipes"
"bs-snippet-injector@2.0.1","MIT","https://github.com/shakyShane/bs-snippet-injector"
"buffer-equal@1.0.1","MIT","https://github.com/inspect-js/buffer-equal"
"bufferutil@4.0.7","MIT","https://github.com/websockets/bufferutil"
"bytes@2.2.0","MIT","https://github.com/visionmedia/bytes.js"
"bytes@2.4.0","MIT","https://github.com/visionmedia/bytes.js"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"cache-base@1.0.1","MIT","https://github.com/jonschlinkert/cache-base"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"camelcase-keys@2.1.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@1.2.1","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@2.1.1","MIT","https://github.com/sindresorhus/camelcase"
"center-align@0.1.3","MIT","https://github.com/jonschlinkert/center-align"
"chalk@0.5.1","MIT","https://github.com/sindresorhus/chalk"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"char-props@0.1.5","MIT","https://github.com/twolfson/char-props"
"chokidar@3.5.3","MIT","https://github.com/paulmillr/chokidar"
"ckeditor4@4.21.0","(GPL-2.0 OR LGPL-2.1 OR MPL-1.1)","https://github.com/ckeditor/ckeditor4-releases"
"class-utils@0.3.6","MIT","https://github.com/jonschlinkert/class-utils"
"clean-css@3.4.28","MIT","https://github.com/jakubpawlowicz/clean-css"
"cliui@2.1.0","ISC","https://github.com/bcoe/cliui"
"cliui@7.0.4","ISC","https://github.com/yargs/cliui"
"cliui@8.0.1","ISC","https://github.com/yargs/cliui"
"clone-buffer@1.0.0","MIT","https://github.com/gulpjs/clone-buffer"
"clone-stats@0.0.1","MIT","https://github.com/hughsk/clone-stats"
"clone-stats@1.0.0","MIT","https://github.com/hughsk/clone-stats"
"clone@0.2.0","MIT","https://github.com/pvorb/node-clone"
"clone@1.0.4","MIT","https://github.com/pvorb/node-clone"
"clone@2.1.2","MIT","https://github.com/pvorb/node-clone"
"cloneable-readable@1.1.3","MIT","https://github.com/mcollina/cloneable-readable"
"collection-visit@1.0.0","MIT","https://github.com/jonschlinkert/collection-visit"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"color-support@1.1.3","ISC","https://github.com/isaacs/color-support"
"commander@2.20.3","MIT","https://github.com/tj/commander.js"
"commander@2.8.1","MIT","https://github.com/tj/commander.js"
"component-emitter@1.3.0","MIT","https://github.com/component/emitter"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"concat-with-sourcemaps@1.1.0","ISC","https://github.com/floridoo/concat-with-sourcemaps"
"connect-history-api-fallback@1.6.0","MIT","https://github.com/bripkens/connect-history-api-fallback"
"connect@3.6.6","MIT","https://github.com/senchalabs/connect"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"convert-source-map@1.9.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie@0.4.2","MIT","https://github.com/jshttp/cookie"
"copy-descriptor@0.1.1","MIT","https://github.com/jonschlinkert/copy-descriptor"
"core-util-is@1.0.3","MIT","https://github.com/isaacs/core-util-is"
"cors@2.8.5","MIT","https://github.com/expressjs/cors"
"css-parse@2.0.0","MIT","https://github.com/reworkcss/css-parse"
"css@2.2.4","MIT","https://github.com/reworkcss/css"
"csv-parser@3.0.0","MIT","https://github.com/mafintosh/csv-parser"
"currently-unhandled@0.4.1","MIT","https://github.com/jamestalmage/currently-unhandled"
"dateformat@1.0.12","MIT","https://github.com/felixge/node-dateformat"
"dateformat@2.2.0","MIT","https://github.com/felixge/node-dateformat"
"debug@2.2.0","MIT","https://github.com/visionmedia/debug"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@3.1.0","MIT","https://github.com/visionmedia/debug"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug"
"debug@4.3.2","MIT","https://github.com/visionmedia/debug"
"debug@4.3.4","MIT","https://github.com/debug-js/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"decode-uri-component@0.2.2","MIT","https://github.com/SamVerschueren/decode-uri-component"
"defaults@1.0.4","MIT","https://github.com/sindresorhus/node-defaults"
"define-properties@1.2.0","MIT","https://github.com/ljharb/define-properties"
"define-property@0.2.5","MIT","https://github.com/jonschlinkert/define-property"
"define-property@1.0.0","MIT","https://github.com/jonschlinkert/define-property"
"define-property@2.0.2","MIT","https://github.com/jonschlinkert/define-property"
"depd@1.1.2","MIT","https://github.com/dougwilson/nodejs-depd"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"deprecated@0.0.1","MIT","https://github.com/wearefractal/deprecated"
"destroy@1.0.4","MIT","https://github.com/stream-utils/destroy"
"detect-file@1.0.0","MIT","https://github.com/doowb/detect-file"
"dev-ip@1.0.1","MIT","https://github.com/shakyshane/dev-ip"
"dezalgo@1.0.4","ISC","https://github.com/npm/dezalgo"
"duplexer2@0.0.2","BSD*","https://github.com/deoxxa/duplexer2"
"duplexer@0.1.2","MIT","https://github.com/Raynos/duplexer"
"duplexify@3.7.1","MIT","https://github.com/mafintosh/duplexify"
"easy-extender@2.3.4","Apache-2.0","https://github.com/shakyshane/easy-extender"
"eazy-logger@4.0.0","Apache 2.0","https://github.com/shakyshane/easy-logger"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"end-of-stream@0.1.5","MIT","https://github.com/mafintosh/end-of-stream"
"end-of-stream@1.4.4","MIT","https://github.com/mafintosh/end-of-stream"
"engine.io-client@6.4.0","MIT","https://github.com/socketio/engine.io-client"
"engine.io-parser@5.0.6","MIT","https://github.com/socketio/engine.io-parser"
"engine.io@6.4.1","MIT","https://github.com/socketio/engine.io"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"escalade@3.1.1","MIT","https://github.com/lukeed/escalade"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"event-stream@3.3.2","MIT","https://github.com/dominictarr/event-stream"
"event-stream@3.3.5","MIT","https://github.com/dominictarr/event-stream"
"event-stream@4.0.1","MIT","https://github.com/dominictarr/event-stream"
"eventemitter3@4.0.7","MIT","https://github.com/primus/eventemitter3"
"expand-brackets@2.1.4","MIT","https://github.com/jonschlinkert/expand-brackets"
"expand-tilde@2.0.2","MIT","https://github.com/jonschlinkert/expand-tilde"
"extend-shallow@1.1.4","MIT","https://github.com/jonschlinkert/extend-shallow"
"extend-shallow@2.0.1","MIT","https://github.com/jonschlinkert/extend-shallow"
"extend-shallow@3.0.2","MIT","https://github.com/jonschlinkert/extend-shallow"
"extend@2.0.2","MIT","https://github.com/justmoon/node-extend"
"extend@3.0.2","MIT","https://github.com/justmoon/node-extend"
"extglob@2.0.4","MIT","https://github.com/micromatch/extglob"
"fancy-log@1.3.3","MIT","https://github.com/gulpjs/fancy-log"
"faye-websocket@0.7.3","MIT","https://github.com/faye/faye-websocket-node"
"filesize@2.0.4","BSD-3","https://github.com/avoidwork/filesize.js"
"fill-range@4.0.0","MIT","https://github.com/jonschlinkert/fill-range"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range"
"finalhandler@1.1.0","MIT","https://github.com/pillarjs/finalhandler"
"find-index@0.1.1","MIT","https://github.com/jsdf/find-index"
"find-up@1.1.2","MIT","https://github.com/sindresorhus/find-up"
"findup-sync@2.0.0","MIT","https://github.com/js-cli/node-findup-sync"
"fined@1.2.0","MIT","https://github.com/gulpjs/fined"
"first-chunk-stream@1.0.0","MIT","https://github.com/sindresorhus/first-chunk-stream"
"flagged-respawn@1.0.1","MIT","https://github.com/gulpjs/flagged-respawn"
"flush-write-stream@1.1.1","MIT","https://github.com/mafintosh/flush-write-stream"
"follow-redirects@1.15.2","MIT","https://github.com/follow-redirects/follow-redirects"
"for-in@1.0.2","MIT","https://github.com/jonschlinkert/for-in"
"for-own@1.0.0","MIT","https://github.com/jonschlinkert/for-own"
"fragment-cache@0.2.1","MIT","https://github.com/jonschlinkert/fragment-cache"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"from@0.1.7","MIT","https://github.com/dominictarr/from"
"fs-extra@3.0.1","MIT","https://github.com/jprichardson/node-fs-extra"
"fs-mkdirp-stream@1.0.0","MIT","https://github.com/gulpjs/fs-mkdirp-stream"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"gaze@0.5.2","MIT","https://github.com/shama/gaze"
"get-caller-file@2.0.5","ISC","https://github.com/stefanpenner/get-caller-file"
"get-intrinsic@1.2.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-stdin@4.0.1","MIT","https://github.com/sindresorhus/get-stdin"
"get-value@2.0.6","MIT","https://github.com/jonschlinkert/get-value"
"glob-parent@3.1.0","ISC","https://github.com/es128/glob-parent"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob-stream@3.1.18","MIT","https://github.com/wearefractal/glob-stream"
"glob-stream@6.1.0","MIT","https://github.com/gulpjs/glob-stream"
"glob-watcher@0.0.6","MIT","https://github.com/wearefractal/glob-watcher"
"glob2base@0.0.12","MIT","https://github.com/wearefractal/glob2base"
"glob@3.1.21","BSD*","https://github.com/isaacs/node-glob"
"glob@4.5.3","ISC","https://github.com/isaacs/node-glob"
"glob@5.0.15","ISC","https://github.com/isaacs/node-glob"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob"
"global-modules@1.0.0","MIT","https://github.com/jonschlinkert/global-modules"
"global-prefix@1.0.2","MIT","https://github.com/jonschlinkert/global-prefix"
"globby@2.1.0","MIT","https://github.com/sindresorhus/globby"
"globule@0.1.0","MIT","https://github.com/cowboy/node-globule"
"glogg@1.0.2","MIT","https://github.com/gulpjs/glogg"
"glyphicons-only-bootstrap@1.0.1","MIT","https://github.com/ohpyupi/glyphicons-only-bootstrap"
"graceful-fs@1.2.3","BSD*","https://github.com/isaacs/node-graceful-fs"
"graceful-fs@2.0.3","BSD*","https://github.com/isaacs/node-graceful-fs"
"graceful-fs@3.0.12","ISC","https://github.com/isaacs/node-graceful-fs"
"graceful-fs@4.2.10","ISC","https://github.com/isaacs/node-graceful-fs"
"graceful-readlink@1.0.1","MIT","https://github.com/zhiyelee/graceful-readlink"
"gulp-angular-templatecache@1.9.1","MIT","https://github.com/miickel/gulp-angular-templatecache"
"gulp-concat@2.6.0","MIT","https://github.com/wearefractal/gulp-concat"
"gulp-concat@2.6.1","MIT","https://github.com/contra/gulp-concat"
"gulp-cssmin@0.1.7","MIT","https://github.com/chilijung/gulp-cssmin"
"gulp-footer@1.0.5","MIT","https://github.com/tracker1/gulp-footer"
"gulp-header@1.8.2","MIT","https://github.com/tracker1/gulp-header"
"gulp-inject@3.0.0","MIT","https://github.com/klei/gulp-inject"
"gulp-jsmin@0.1.5","MIT","https://github.com/chilijung/gulp-jsmin"
"gulp-livereload@3.8.1","MIT","https://github.com/vohof/gulp-livereload"
"gulp-rename@1.1.0","MIT","https://github.com/hparra/gulp-rename"
"gulp-rename@1.4.0","MIT","https://github.com/hparra/gulp-rename"
"gulp-stylus@2.7.1","MIT","https://github.com/stevelacy/gulp-stylus"
"gulp-util@2.2.20","MIT","https://github.com/wearefractal/gulp-util"
"gulp-util@3.0.7","MIT","https://github.com/gulpjs/gulp-util"
"gulp-util@3.0.8","MIT","https://github.com/gulpjs/gulp-util"
"gulp@3.9.1","MIT","https://github.com/gulpjs/gulp"
"gulplog@1.0.0","MIT","https://github.com/gulpjs/gulplog"
"has-ansi@0.1.0","MIT","https://github.com/sindresorhus/has-ansi"
"has-ansi@2.0.0","MIT","https://github.com/sindresorhus/has-ansi"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-gulplog@0.1.0","MIT","https://github.com/gulpjs/has-gulplog"
"has-property-descriptors@1.0.0","MIT","https://github.com/inspect-js/has-property-descriptors"
"has-symbols@1.0.3","MIT","https://github.com/inspect-js/has-symbols"
"has-value@0.3.1","MIT","https://github.com/jonschlinkert/has-value"
"has-value@1.0.0","MIT","https://github.com/jonschlinkert/has-value"
"has-values@0.1.4","MIT","https://github.com/jonschlinkert/has-values"
"has-values@1.0.0","MIT","https://github.com/jonschlinkert/has-values"
"has@1.0.3","MIT","https://github.com/tarruda/has"
"homedir-polyfill@1.0.3","MIT","https://github.com/doowb/homedir-polyfill"
"hosted-git-info@2.8.9","ISC","https://github.com/npm/hosted-git-info"
"http-errors@1.3.1","MIT","https://github.com/jshttp/http-errors"
"http-errors@1.6.3","MIT","https://github.com/jshttp/http-errors"
"http-errors@2.0.0","MIT","https://github.com/jshttp/http-errors"
"http-parser-js@0.5.8","MIT","https://github.com/creationix/http-parser-js"
"http-proxy@1.18.1","MIT","https://github.com/http-party/node-http-proxy"
"iconv-lite@0.4.13","MIT","https://github.com/ashtuchkin/iconv-lite"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"immutable@3.8.2","MIT","https://github.com/facebook/immutable-js"
"indent-string@2.1.0","MIT","https://github.com/sindresorhus/indent-string"
"indx@0.2.3","MIT","https://github.com/jenius/indx"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@1.0.2","ISC*","https://github.com/isaacs/inherits"
"inherits@2.0.3","ISC","https://github.com/isaacs/inherits"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ini@1.3.8","ISC","https://github.com/isaacs/ini"
"interpret@1.4.0","MIT","https://github.com/gulpjs/interpret"
"is-absolute@1.0.0","MIT","https://github.com/jonschlinkert/is-absolute"
"is-accessor-descriptor@0.1.6","MIT","https://github.com/jonschlinkert/is-accessor-descriptor"
"is-accessor-descriptor@1.0.0","MIT","https://github.com/jonschlinkert/is-accessor-descriptor"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path"
"is-buffer@1.1.6","MIT","https://github.com/feross/is-buffer"
"is-core-module@2.11.0","MIT","https://github.com/inspect-js/is-core-module"
"is-data-descriptor@0.1.4","MIT","https://github.com/jonschlinkert/is-data-descriptor"
"is-data-descriptor@1.0.0","MIT","https://github.com/jonschlinkert/is-data-descriptor"
"is-descriptor@0.1.6","MIT","https://github.com/jonschlinkert/is-descriptor"
"is-descriptor@1.0.2","MIT","https://github.com/jonschlinkert/is-descriptor"
"is-extendable@0.1.1","MIT","https://github.com/jonschlinkert/is-extendable"
"is-extendable@1.0.1","MIT","https://github.com/jonschlinkert/is-extendable"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-finite@1.1.0","MIT","https://github.com/sindresorhus/is-finite"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-glob@3.1.0","MIT","https://github.com/jonschlinkert/is-glob"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"is-negated-glob@1.0.0","MIT","https://github.com/jonschlinkert/is-negated-glob"
"is-number-like@1.0.8","ISC","https://github.com/vigour-io/is-number-like"
"is-number@3.0.0","MIT","https://github.com/jonschlinkert/is-number"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"is-plain-object@2.0.4","MIT","https://github.com/jonschlinkert/is-plain-object"
"is-relative@1.0.0","MIT","https://github.com/jonschlinkert/is-relative"
"is-unc-path@1.0.0","MIT","https://github.com/jonschlinkert/is-unc-path"
"is-utf8@0.2.1","MIT","https://github.com/wayfind/is-utf8"
"is-valid-glob@1.0.0","MIT","https://github.com/jonschlinkert/is-valid-glob"
"is-windows@1.0.2","MIT","https://github.com/jonschlinkert/is-windows"
"is-wsl@1.1.0","MIT","https://github.com/sindresorhus/is-wsl"
"isarray@0.0.1","MIT","https://github.com/juliangruber/isarray"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"isobject@2.1.0","MIT","https://github.com/jonschlinkert/isobject"
"isobject@3.0.1","MIT","https://github.com/jonschlinkert/isobject"
"js-string-escape@1.0.1","MIT","https://github.com/joliss/js-string-escape"
"jsmin-sourcemap@0.16.0","UNLICENSE","https://github.com/twolfson/node-jsmin-sourcemap"
"jsmin2@1.1.9","MIT*","https://github.com/twolfson/node-jsmin2"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
"json-stable-stringify-without-jsonify@1.0.1","MIT","https://github.com/samn/json-stable-stringify"
"jsonfile@3.0.1","MIT","https://github.com/jprichardson/node-jsonfile"
"kind-of@1.1.0","MIT","https://github.com/jonschlinkert/kind-of"
"kind-of@3.2.2","MIT","https://github.com/jonschlinkert/kind-of"
"kind-of@4.0.0","MIT","https://github.com/jonschlinkert/kind-of"
"kind-of@5.1.0","MIT","https://github.com/jonschlinkert/kind-of"
"kind-of@6.0.3","MIT","https://github.com/jonschlinkert/kind-of"
"lazy-cache@1.0.4","MIT","https://github.com/jonschlinkert/lazy-cache"
"lazystream@1.0.1","MIT","https://github.com/jpommerening/node-lazystream"
"lead@1.0.0","MIT","https://github.com/gulpjs/lead"
"license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"liftoff@2.5.0","MIT","https://github.com/js-cli/js-liftoff"
"limiter@1.1.5","MIT","https://github.com/jhurliman/node-rate-limiter"
"livereload-js@2.4.0","MIT","https://github.com/livereload/livereload-js"
"load-json-file@1.1.0","MIT","https://github.com/sindresorhus/load-json-file"
"localtunnel@2.0.2","MIT","https://github.com/localtunnel/localtunnel"
"lodash._baseassign@3.2.0","MIT","https://github.com/lodash/lodash"
"lodash._basecopy@3.0.1","MIT","https://github.com/lodash/lodash"
"lodash._basetostring@3.0.1","MIT","https://github.com/lodash/lodash"
"lodash._basevalues@3.0.0","MIT","https://github.com/lodash/lodash"
"lodash._bindcallback@3.0.1","MIT","https://github.com/lodash/lodash"
"lodash._createassigner@3.1.1","MIT","https://github.com/lodash/lodash"
"lodash._escapehtmlchar@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash._escapestringchar@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash._getnative@3.9.1","MIT","https://github.com/lodash/lodash"
"lodash._htmlescapes@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash._isiterateecall@3.0.9","MIT","https://github.com/lodash/lodash"
"lodash._isnative@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash._objecttypes@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash._reescape@3.0.0","MIT","https://github.com/lodash/lodash"
"lodash._reevaluate@3.0.0","MIT","https://github.com/lodash/lodash"
"lodash._reinterpolate@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash._reinterpolate@3.0.0","MIT","https://github.com/lodash/lodash"
"lodash._reunescapedhtml@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash._root@3.0.1","MIT","https://github.com/lodash/lodash"
"lodash._shimkeys@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash.assign@3.2.0","MIT","https://github.com/lodash/lodash"
"lodash.assign@4.2.0","MIT","https://github.com/lodash/lodash"
"lodash.clone@4.5.0","MIT","https://github.com/lodash/lodash"
"lodash.defaults@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash.defaults@4.2.0","MIT","https://github.com/lodash/lodash"
"lodash.escape@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash.escape@3.2.0","MIT","https://github.com/lodash/lodash"
"lodash.flatten@4.4.0","MIT","https://github.com/lodash/lodash"
"lodash.isarguments@3.1.0","MIT","https://github.com/lodash/lodash"
"lodash.isarray@3.0.4","MIT","https://github.com/lodash/lodash"
"lodash.isfinite@3.3.2","MIT","https://github.com/lodash/lodash"
"lodash.isobject@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash.keys@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash.keys@3.1.2","MIT","https://github.com/lodash/lodash"
"lodash.merge@4.6.2","MIT","https://github.com/lodash/lodash"
"lodash.partialright@4.2.1","MIT","https://github.com/lodash/lodash"
"lodash.pick@4.4.0","MIT","https://github.com/lodash/lodash"
"lodash.restparam@3.6.1","MIT","https://github.com/lodash/lodash"
"lodash.template@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash.template@3.6.2","MIT","https://github.com/lodash/lodash"
"lodash.templatesettings@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash.templatesettings@3.1.1","MIT","https://github.com/lodash/lodash"
"lodash.uniq@4.5.0","MIT","https://github.com/lodash/lodash"
"lodash.values@2.4.1","MIT","https://github.com/lodash/lodash-cli"
"lodash@1.0.2","MIT","https://github.com/lodash/lodash"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"longest@1.0.1","MIT","https://github.com/jonschlinkert/longest"
"loud-rejection@1.6.0","MIT","https://github.com/sindresorhus/loud-rejection"
"lru-cache@2.7.3","ISC","https://github.com/isaacs/node-lru-cache"
"main-bower-files@2.13.3","MIT","https://github.com/ck86/main-bower-files"
"make-iterator@1.0.1","MIT","https://github.com/jonschlinkert/make-iterator"
"map-cache@0.2.2","MIT","https://github.com/jonschlinkert/map-cache"
"map-obj@1.0.1","MIT","https://github.com/sindresorhus/map-obj"
"map-stream@0.0.4","Custom: https://github.com/dominictarr/event-stream","https://github.com/dominictarr/map-stream"
"map-stream@0.0.7","MIT","https://github.com/dominictarr/map-stream"
"map-stream@0.1.0","Custom: https://github.com/dominictarr/event-stream","https://github.com/dominictarr/map-stream"
"map-visit@1.0.0","MIT","https://github.com/jonschlinkert/map-visit"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"meow@3.7.0","MIT","https://github.com/sindresorhus/meow"
"micromatch@3.1.10","MIT","https://github.com/micromatch/micromatch"
"micromatch@4.0.5","MIT","https://github.com/micromatch/micromatch"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mime@1.4.1","MIT","https://github.com/broofa/node-mime"
"mini-lr@0.1.9","MIT","https://github.com/elwayman02/mini-lr"
"minimatch@0.2.14","MIT","https://github.com/isaacs/minimatch"
"minimatch@2.0.10","ISC","https://github.com/isaacs/minimatch"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"minimist@0.2.4","MIT","https://github.com/minimistjs/minimist"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"mitt@1.2.0","MIT","https://github.com/developit/mitt"
"mixin-deep@1.3.2","MIT","https://github.com/jonschlinkert/mixin-deep"
"mkdirp@0.5.6","MIT","https://github.com/substack/node-mkdirp"
